Name,sales2016,FranchiseUnits2016,CompanyUnits2016,TotalUnits2016
McDonalds,36389,13046,1109,14155
Starbucks,14795.4,5292,7880,13172
Wendy's,9510,6207,330,6537
Burger King,9749.19,7111,50,7161
Taco Bell,9535.8,5399,879,6278
Chick fil a,7973.5,1730,372,2102
Pizza Hut,5751.4,7371,318,7689
Domino's,5335.2,4979,392,5731
Panera Bread,5200,1134,908,2042
Sonic,4504.14,3201,356,3557
KFC,4483.3,3966,201,4167
Carl's Jr.,3761,2774,237,3011
Dairy Queen,3621,4515,2,4517
Abry's,3600,2314,1044,3358
Little Ceasers,3523.25,3809,514,4323
Jack in the box,3445,1838,417,2255
Popeyes,3140.3,2029,55,2084
Papa John's,3013.79,2739,702,3441
Panda Express,2903.04,95,1798,1893
Whataburger,2181.35,122,684,806
Jimmy John's,2146.6,2584,63,2647
Zaxby's,1891.98,677,139,816
Five Guys,1382.01,914,507,1421
Culver's,1301.38,597,8,605
Bojangle's,1229.48,407,309,716
Steak n Shake,1027,153,415,568
Wingstop,943.3,977,21,998
Papa Murphy's,884.77,1369,168,1537
Checkers/Rally's,837.36,541,300,841
Jersey Mike's,825,1134,53,1187
Qdoba,801,332,367,699
Church's Chicken,800.27,838,238,1076
El Pollo Loco,795.44,259,201,460
Moes southwest grill,688.04,674,5,679
Firehouse subs,683.53,1005,32,1037
Boston Market ,659.16,5,457,462
Jason's deli,646.59,109,155,264
McAlisters Deli,591.3,355,32,387
Noodles & Company,560.56,75,457,532
Auntie Anne's,548,1284,16,1300
Captain D's,544.43,227,289,516
Jamba Juice ,536.92,767,72,839
